PERIOD,YEAR,STATS_VALUE
September,2011,11.7
October,2011,15
November,2011,17
December,2011,18.2
January,2012,19.4
February,2012,19.3
March,2012,18.1
April,2012,16.8
May,2012,12.7
June,2012,10.7
July,2012,10.8
August,2012,11.7
September,2012,12.8
October,2012,13.9
November,2012,15.3
December,2012,19.4
January,2013,19.8
February,2013,19.8
March,2013,19.4
April,2013,17.3
May,2013,14.2
June,2013,11.4
July,2013,10.3
August,2013,12.5
September,2013,13.4
October,2013,15.3
November,2013,17.7
December,2013,18.7
January,2014,19
February,2014,20.1
March,2014,18.2
April,2014,17.8
May,2014,13.5
June,2014,13.1
July,2014,10.7
August,2014,11
September,2014,13.7
October,2014,14.4
November,2014,15.8
December,2014,18.1
January,2015,21.2
February,2015,19.6
March,2015,18.7
April,2015,16.6
May,2015,13
June,2015,11.6
July,2015,9.8
August,2015,10.6
September,2015,11.9
October,2015,14.9
November,2015,16.2
December,2015,18.3
January,2016,20.6
February,2016,21.7
March,2016,19.6
April,2016,16.6
May,2016,15.6
June,2016,12.3
July,2016,10.9
August,2016,11
September,2016,13.5
October,2016,14.8
November,2016,16.6
December,2016,17.8
January,2017,19.5
February,2017,20.6
March,2017,19.5
April,2017,16.9
May,2017,13
June,2017,11.8
July,2017,10.3
August,2017,12
September,2017,12.9
October,2017,14.9
November,2017,16.7
December,2017,19.9
January,2018,22.1
February,2018,21
March,2018,19.9
April,2018,16.6
May,2018,14.1
June,2018,11.5
July,2018,10.7
August,2018,11.4
September,2018,12.9
October,2018,14.3
November,2018,16.4
December,2018,19.3
January,2019,22.1
February,2019,21
March,2019,19.7
April,2019,15.7
May,2019,14.2
June,2019,11
July,2019,12
August,2019,11.7
September,2019,12.9
October,2019,14.3
November,2019,18.1
December,2019,19.6
January,2020,20.2
February,2020,21.5
March,2020,18.1
April,2020,16.2
May,2020,13.7
June,2020,12.8
July,2020,10.9
August,2020,12.1
September,2020,12.9
October,2020,15.4
November,2020,17.2
December,2020,18.8
January,2021,20.3
February,2021,19.8
March,2021,18.6
April,2021,16.9
June,2021,13.1
July,2021,10.8
August,2021,11.3
September,2021,12.7
October,2021,15.1
November,2021,18.4
December,2021,20.9
January,2022,21.2
February,2022,21.2
March,2022,19.6
April,2022,17.2
May,2022,14.8
June,2022,12.9
July,2022,12.5
August,2022,12.1
September,2022,13
October,2022,14.8
November,2022,17.4
December,2022,19.2
January,2023,20.1
February,2023,20
March,2023,18.2
April,2023,17.3
May,2023,15.3
June,2023,12.6
July,2023,11.9
August,2023,10.2
September,2023,13.9
October,2023,14.9
November,2023,16.7
December,2023,19.5
January,2024,21.3
February,2024,20.2
March,2024,17.5
April,2024,16.1
May,2024,12.7
June,2024,12.3
July,2024,10.7
August,2024,11.4
September,2024,13.4
October,2024,15
November,2024,17
December,2024,20
January,2025,19.3
February,2025,20.9
March,2025,18.9
April,2025,18.1
May,2025,14.5
June,2025,12.3
July,2025,11.6
August,2025,11.7
September,2025,13.7
October,2025,16.3
